                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.93043,                0.88586,                 1.2011,                0.78606,                0.63601,                0.69182,                0.39446,                 1.5963,                 1.0847,                 1.7479,               0.003268,               0.003268,               0.003268
                     37,                0.91019,                0.86185,                 1.1919,                0.80131,                0.64171,                0.70311,                0.39017,                 1.6412,                 1.0782,                 1.7643,                0.00307,                0.00307,                0.00307
                     38,                0.89231,                0.84298,                 1.1796,                0.83451,                  0.652,                0.72248,                0.41718,                  1.522,                 1.0006,                 1.6884,               0.002872,               0.002872,               0.002872
                     39,                0.90041,                0.83091,                  1.182,                0.84477,                0.63997,                0.72052,                0.37926,                 1.6853,                   1.06,                 1.8335,               0.002674,               0.002674,               0.002674
                     40,                0.88985,                0.82504,                 1.1769,                0.85511,                0.68291,                0.73975,                0.43034,                 1.5208,                0.99152,                 1.6886,               0.002476,               0.002476,               0.002476
                     41,                0.93439,                 0.7911,                 1.2092,                0.82547,                0.65246,                0.72698,                 0.4268,                 1.5617,                 1.0142,                 1.7431,               0.002278,               0.002278,               0.002278
                     42,                0.89337,                 0.7318,                 1.1842,                0.84964,                0.66438,                0.74151,                0.43764,                  1.513,                0.95492,                 1.6924,                0.00208,                0.00208,                0.00208
                     43,                0.87086,                0.70169,                 1.1658,                0.85952,                0.66265,                 0.7499,                0.41572,                 1.5933,                0.96861,                 1.7671,               0.001882,               0.001882,               0.001882
                     44,                0.86174,                0.68933,                 1.1605,                0.82432,                0.69453,                0.75348,                0.44365,                 1.4779,                0.94746,                 1.6379,               0.001684,               0.001684,               0.001684
                     45,                 0.8514,                0.68351,                 1.1579,                 0.8721,                0.67932,                0.75644,                 0.4531,                 1.4252,                0.92634,                 1.6085,               0.001486,               0.001486,               0.001486
                     46,                0.83274,                0.65846,                 1.1446,                0.88207,                0.68757,                0.76564,                0.45597,                 1.4422,                0.91085,                 1.6174,               0.001288,               0.001288,               0.001288
                     47,                0.81002,                0.63153,                 1.1254,                0.86893,                0.68474,                0.76631,                0.46175,                 1.4224,                0.87197,                 1.6103,                0.00109,                0.00109,                0.00109
                     48,                0.79354,                0.61841,                 1.1163,                0.88098,                0.68076,                0.76909,                0.45551,                 1.4474,                0.88858,                 1.6423,               0.000892,               0.000892,               0.000892
                     49,                 0.7794,                0.60769,                 1.1099,                0.88412,                0.70238,                0.77743,                0.47197,                 1.4222,                0.85853,                 1.6242,               0.000694,               0.000694,               0.000694
                     50,                0.76235,                0.59252,                 1.1006,                0.87178,                0.71222,                  0.777,                0.47713,                 1.3941,                 0.8418,                 1.5888,               0.000496,               0.000496,               0.000496
