                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.97909,                0.96153,                 1.2322,                0.76857,                0.60701,                0.66871,                0.36251,                 1.6635,                 1.2379,                 1.8205,               0.006634,               0.006634,               0.006634
                     37,                0.97175,                0.96053,                 1.2298,                0.78954,                0.63455,                0.69597,                0.37566,                  1.646,                 1.2009,                 1.7776,               0.006535,               0.006535,               0.006535
                     38,                0.94197,                0.91178,                 1.2108,                0.81415,                0.62611,                0.69734,                0.39215,                  1.608,                 1.0994,                 1.7663,               0.006436,               0.006436,               0.006436
                     39,                0.96482,                0.92531,                 1.2191,                0.84155,                0.63078,                0.70813,                0.37059,                 1.6978,                 1.1315,                 1.8315,               0.006337,               0.006337,               0.006337
                     40,                0.93636,                0.89546,                 1.2047,                0.86838,                0.61826,                0.71799,                0.40008,                 1.6001,                 1.1099,                 1.7636,               0.006238,               0.006238,               0.006238
                     41,                0.94966,                0.91427,                  1.211,                0.87519,                 0.6416,                 0.7273,                0.40329,                  1.596,                 1.0812,                 1.7679,               0.006139,               0.006139,               0.006139
                     42,                 0.9175,                0.87076,                 1.1894,                0.83002,                0.67121,                0.72447,                0.41821,                 1.5234,                 1.0308,                 1.6927,                0.00604,                0.00604,                0.00604
                     43,                0.91431,                0.86247,                 1.1893,                0.80889,                0.67044,                0.72617,                0.41269,                 1.5444,                 1.0546,                 1.7149,               0.005941,               0.005941,               0.005941
                     44,                 0.9229,                0.87077,                 1.1967,                0.84281,                0.65645,                0.73448,                0.42507,                 1.5418,                 1.0796,                 1.7277,               0.005842,               0.005842,               0.005842
                     45,                0.90913,                0.84649,                 1.1848,                0.81163,                0.65462,                0.71518,                0.38001,                 1.6948,                 1.0854,                 1.8336,               0.005743,               0.005743,               0.005743
                     46,                0.90967,                0.84315,                 1.1869,                0.85221,                0.62697,                0.70785,                0.41358,                 1.5624,                 1.1331,                 1.7273,               0.005644,               0.005644,               0.005644
                     47,                 0.9021,                0.83332,                 1.1788,                0.80638,                0.67895,                0.72729,                0.43813,                 1.4932,                  1.052,                 1.6632,               0.005545,               0.005545,               0.005545
                     48,                0.88113,                0.81785,                 1.1671,                0.84188,                0.66853,                0.73894,                0.43124,                 1.5604,                 1.0201,                 1.7194,               0.005446,               0.005446,               0.005446
                     49,                0.88412,                0.81035,                 1.1669,                0.83452,                0.68736,                0.74687,                0.42304,                 1.5642,                 1.0211,                 1.7157,               0.005347,               0.005347,               0.005347
                     50,                0.87097,                0.79658,                 1.1608,                0.84558,                0.66852,                0.74123,                0.42535,                 1.5153,                 1.0016,                  1.674,               0.005248,               0.005248,               0.005248
                     51,                0.86875,                 0.7698,                 1.1497,                 0.8656,                0.66558,                0.76251,                 0.4497,                 1.4548,                 0.9528,                 1.6437,               0.005149,               0.005149,               0.005149
                     52,                0.86735,                0.77706,                 1.1547,                0.84267,                0.67907,                0.74483,                0.43883,                 1.4554,                0.95098,                 1.6453,                0.00505,                0.00505,                0.00505
                     53,                 0.8586,                0.77553,                 1.1461,                0.86725,                0.66678,                0.74268,                0.43755,                 1.4955,                0.96531,                 1.6756,               0.004951,               0.004951,               0.004951
                     54,                0.82864,                0.73702,                 1.1298,                0.87614,                0.66647,                0.74916,                0.43636,                 1.5263,                0.97292,                 1.7052,               0.004852,               0.004852,               0.004852
                     55,                0.83336,                0.73249,                 1.1337,                0.85736,                0.68828,                0.75901,                0.44736,                  1.529,                0.89822,                 1.6756,               0.004753,               0.004753,               0.004753
                     56,                0.83478,                0.73794,                  1.135,                0.84382,                0.69922,                0.76203,                0.47092,                 1.4328,                0.92439,                 1.6283,               0.004654,               0.004654,               0.004654
                     57,                 0.8105,                0.71148,                 1.1207,                0.86946,                0.68856,                0.75349,                0.46116,                 1.4242,                0.91399,                 1.6403,               0.004555,               0.004555,               0.004555
                     58,                0.82367,                0.72356,                 1.1279,                0.86503,                0.68466,                0.75922,                0.46641,                  1.363,                0.92211,                 1.5718,               0.004456,               0.004456,               0.004456
                     59,                0.81295,                0.72179,                 1.1229,                0.85328,                0.69273,                0.76113,                0.45953,                 1.4056,                0.91965,                 1.6129,               0.004357,               0.004357,               0.004357
                     60,                0.80617,                0.70098,                 1.1152,                0.90547,                0.66956,                0.76065,                 0.4799,                 1.3409,                0.88534,                 1.5538,               0.004258,               0.004258,               0.004258
                     61,                0.80284,                0.69433,                 1.1099,                0.89097,                0.69499,                0.77669,                0.47163,                 1.4493,                0.89548,                 1.6546,               0.004159,               0.004159,               0.004159
                     62,                0.79837,                0.68596,                  1.106,                0.88899,                0.68952,                0.76799,                0.47963,                 1.3687,                0.88157,                 1.5815,                0.00406,                0.00406,                0.00406
